,NWISid,NHDPlusid,D2_min_USGS,D2_median_USGS,D2_max_USGS,D2_min_NWM,D2_median_NWM,D2_max_NWM,D3_min_USGS,D3_median_USGS,D3_max_USGS,D3_min_NWM,D3_median_NWM,D3_max_NWM,D4_min_USGS,D4_median_USGS,D4_max_USGS,D4_min_NWM,D4_median_NWM,D4_max_NWM,D5_min_USGS,D5_median_USGS,D5_max_USGS,D5_min_NWM,D5_median_NWM,D5_max_NWM,D6_min_USGS,D6_median_USGS,D6_max_USGS,D6_min_NWM,D6_median_NWM,D6_max_NWM,D7_min_USGS,D7_median_USGS,D7_max_USGS,D7_min_NWM,D7_median_NWM,D7_max_NWM,D8_min_USGS,D8_median_USGS,D8_max_USGS,D8_min_NWM,D8_median_NWM,D8_max_NWM,D9_min_USGS,D9_median_USGS,D9_max_USGS,D9_min_NWM,D9_median_NWM,D9_max_NWM,D10_min_USGS,D10_median_USGS,D10_max_USGS,D10_min_NWM,D10_median_NWM,D10_max_NWM
0,10109000,664424,6.93,31.25,47.74,6.08,35.87,56.36,3.32,28.19,47.8,0.39,29.62,54.18,1.15,25.44,39.55,0.84,25.84,53.07,1.45,11.2,39.53,0.94,15.28,51.24,0.98,12.22,36.99,0.02,13.99,48.69,0.49,13.42,31.66,1.91,15.56,43.04,2.1,11.3,30.75,3.31,12.63,42.13,0.18,7.84,25.85,0.14,13.29,35.33,0.23,5.6,21.0,0.38,6.0,30.37
1,10113500,666156,0.57,27.98,49.14,3.71,25.48,43.91,0.81,27.42,49.47,1.15,19.96,44.38,2.02,22.37,44.91,0.03,20.17,41.78,0.36,15.99,42.5,0.33,10.25,39.91,0.04,14.42,35.63,0.94,9.11,38.11,6.06,18.28,34.3,2.23,10.25,34.41,1.35,20.28,29.74,1.13,9.65,32.39,1.56,20.36,26.09,0.0,9.91,27.65,1.31,17.56,25.99,0.39,2.97,25.08
2,10068500,4472049,2.47,36.55,57.69,1.37,35.96,48.34,1.79,34.06,55.48,1.19,28.64,48.08,10.2,35.05,51.75,3.34,22.91,47.19,15.44,32.15,49.17,0.79,24.61,47.06,7.93,29.37,49.74,1.82,20.18,44.35,10.58,29.32,48.43,2.02,17.97,39.24,1.93,29.98,47.29,1.15,13.13,38.18,2.01,29.84,46.35,1.75,10.94,34.57,2.25,27.54,44.24,3.38,10.02,30.01
3,10092700,4560060,1.9,38.08,57.85,0.29,31.96,49.59,2.22,36.63,55.24,3.98,30.43,49.27,3.32,33.83,52.02,2.32,23.84,48.24,6.26,31.86,47.26,0.02,26.65,48.3,0.35,26.97,42.88,3.43,21.05,45.45,6.71,27.5,42.47,0.68,18.57,39.64,2.94,26.84,42.45,0.39,12.95,38.59,0.87,26.25,41.32,0.83,10.61,35.33,2.77,16.66,41.43,1.99,10.02,30.53
4,10126000,4605050,9.74,44.52,63.25,1.35,25.09,49.07,3.66,36.36,60.9,0.3,16.91,48.68,5.68,28.47,60.25,0.54,21.46,47.87,8.59,28.36,56.4,1.37,21.23,47.08,2.65,27.34,50.37,0.93,18.41,44.03,4.74,27.21,50.33,0.54,13.91,39.54,0.41,22.7,46.77,0.39,10.84,38.08,0.89,18.73,43.2,0.28,9.56,34.01,2.91,18.51,37.93,1.57,7.77,30.06
5,10011500,7887898,0.35,18.29,43.23,0.63,27.36,48.4,2.13,19.06,39.39,3.19,17.04,44.0,1.76,15.89,37.8,0.92,18.06,42.41,0.25,15.61,36.59,1.03,16.5,41.79,1.28,9.64,28.0,3.59,17.4,41.86,2.35,11.04,24.75,0.16,16.33,31.0,0.15,8.44,25.06,0.08,13.71,31.55,0.51,5.1,22.32,1.86,15.08,23.95,0.37,5.29,19.52,2.13,10.77,20.65
6,10039500,7898927,19.99,41.41,74.55,0.7,23.8,44.0,4.45,39.08,73.5,0.39,20.4,42.36,1.95,41.09,71.7,2.42,17.23,41.21,4.63,31.99,64.86,0.14,16.42,41.25,5.52,21.06,55.59,0.3,16.56,38.74,0.15,22.37,54.12,0.3,16.99,33.52,3.79,18.38,52.04,0.23,12.73,32.61,4.56,20.1,50.21,0.26,11.53,28.29,0.43,20.77,45.85,0.65,8.48,24.21
7,10130500,10092262,9.3,31.15,59.33,2.83,35.14,48.29,4.06,28.64,56.57,0.59,20.86,47.86,7.99,28.76,53.06,0.92,17.05,42.69,0.53,25.79,46.59,2.8,19.45,41.75,0.17,21.87,38.6,0.62,17.43,41.29,5.66,19.45,37.9,0.63,16.9,29.48,0.62,16.54,35.68,1.52,15.65,28.92,1.51,14.34,30.47,0.51,15.03,22.99,0.09,11.28,27.78,0.74,10.32,19.83
8,10131000,10093066,1.48,46.26,56.55,8.09,44.88,65.02,1.13,21.91,56.41,4.4,37.85,64.64,2.55,27.09,56.38,5.88,38.89,63.8,1.4,29.76,55.35,0.82,41.5,58.24,3.3,25.62,47.73,0.19,36.66,50.81,0.69,19.28,40.29,0.17,29.68,49.55,0.86,16.61,39.23,2.16,29.89,50.8,1.47,12.82,35.78,6.43,25.79,49.15,4.21,10.7,31.19,4.84,22.91,45.02
9,10128500,10093110,1.66,22.55,38.96,2.07,30.98,52.21,0.77,15.04,34.05,0.13,18.53,47.86,0.35,10.85,33.89,0.32,15.43,42.42,2.84,12.68,32.7,2.69,17.7,40.45,0.56,10.46,30.55,3.85,19.04,40.8,0.37,9.59,21.43,0.67,17.66,28.29,2.06,9.47,22.14,2.59,17.24,28.21,0.03,7.16,18.33,1.15,14.48,25.39,1.15,5.63,15.19,1.85,9.82,21.72
10,10141000,10273232,1.25,47.1,82.75,4.65,25.39,39.79,6.27,52.19,81.06,2.26,12.22,40.61,0.7,44.59,80.19,1.28,12.26,38.08,5.12,36.27,77.67,1.33,9.97,37.73,0.26,33.36,66.68,0.13,11.31,35.0,7.58,33.46,63.14,0.47,10.96,27.7,0.28,24.04,56.4,4.22,11.58,26.17,0.08,20.85,47.12,1.01,9.57,20.73,0.63,15.36,41.81,0.4,5.4,17.18
