,NWISid,NHDPlusid,D2_USGS,D2_NWM,D3_USGS,D3_NWM,D4_USGS,D4_NWM,D5_USGS,D5_NWM,D6_USGS,D6_NWM,D7_USGS,D7_NWM,D8_USGS,D8_NWM,D9_USGS,D9_NWM,D10_USGS,D10_NWM
0,10109000,664424,-0.53,-0.05,-0.4,0.01,-0.36,0.18,-0.39,0.11,-0.35,0.26,-0.36,0.25,-0.23,0.13,-0.21,0.17,-0.25,0.19
1,10113500,666156,-0.68,0.26,-0.33,0.42,-0.11,0.42,0.08,0.45,0.25,0.42,0.31,0.3,0.34,0.01,0.34,-0.01,0.33,-0.01
2,10068500,4472049,-1.1,0.71,-1.21,0.93,-1.19,1.07,-1.4,1.28,-1.48,1.34,-1.61,1.41,-1.66,1.44,-1.71,1.51,-1.85,1.44
3,10092700,4560060,-0.81,0.57,-0.73,0.87,-0.78,1.01,-0.75,1.16,-0.88,1.21,-1.3,1.3,-1.44,1.3,-1.54,1.35,-1.37,1.33
4,10126000,4605050,-0.95,0.34,-0.79,0.49,-0.87,0.6,-1.0,0.79,-0.91,0.78,-1.23,0.76,-1.26,0.8,-1.19,0.73,-1.07,0.72
5,10011500,7887898,-0.48,0.16,-0.36,0.46,-0.36,0.71,-0.29,0.77,-0.22,0.92,-0.28,0.9,-0.27,0.92,-0.13,0.98,-0.19,0.99
6,10039500,7898927,-0.91,0.26,-0.74,0.45,-0.82,0.54,-0.93,0.78,-0.89,0.85,-1.13,0.82,-1.03,0.88,-0.94,0.92,-1.11,0.85
7,10130500,10092262,-1.88,-0.02,-1.85,0.37,-1.77,0.63,-1.53,0.85,-1.49,0.92,-1.51,0.88,-1.4,0.92,-1.22,0.9,-1.23,0.91
8,10131000,10093066,-0.96,-0.05,-1.13,0.51,-1.11,0.73,-1.1,0.91,-0.99,1.23,-0.89,1.34,-0.84,1.72,-0.63,1.93,-0.71,1.69
9,10128500,10093110,-0.73,0.01,-0.52,0.37,-0.46,0.55,-0.5,0.77,-0.45,0.78,-0.4,0.82,-0.37,0.82,-0.31,0.79,-0.32,0.8
10,10141000,10273232,-1.99,-0.1,-1.63,-0.02,-1.81,0.08,-1.57,0.17,-1.46,0.31,-1.24,0.36,-1.21,0.35,-0.9,0.37,-0.87,0.33
11,10137500,10274270,-0.67,-0.92,-0.61,-0.65,-0.52,-0.69,-0.54,-0.71,-0.58,-0.82,-0.59,-0.72,-0.51,-0.77,-0.49,-0.69,-0.5,-0.69
12,10136500,10274616,-2.01,-0.11,-1.67,0.06,-1.79,0.22,-1.6,0.3,-1.58,0.43,-1.43,0.46,-1.33,0.44,-1.14,0.46,-1.09,0.41
13,10134500,10277268,-1.37,-0.08,-1.33,-0.02,-1.04,0.22,-0.93,0.39,-0.83,0.5,-0.61,0.59,-0.54,0.59,-0.25,0.6,-0.27,0.62
14,10146400,10331001,-3.24,-1.11,-3.04,-1.09,-3.1,-1.26,-3.07,-1.04,-2.91,-0.89,-2.67,-0.62,-2.56,-0.59,-2.04,-0.55,-1.88,-0.75
15,10150500,10349360,-0.81,-0.64,-0.72,-0.23,-0.73,0.03,-0.66,0.15,-0.61,0.28,-0.56,0.42,-0.53,0.52,-0.43,0.58,-0.46,0.53
16,10155000,10373622,-0.08,-0.05,0.01,0.13,0.02,0.35,-0.02,0.6,0.12,0.69,0.13,0.67,0.15,0.64,0.21,0.59,0.19,0.66
17,10154200,10373692,-0.35,0.02,-0.32,0.2,-0.25,0.37,-0.18,0.61,-0.19,0.69,-0.15,0.68,-0.13,0.63,-0.11,0.62,-0.04,0.66
18,10171000,10390290,-0.97,-0.19,-0.95,-0.18,-0.97,-0.11,-0.96,-0.04,-0.9,-0.03,-0.85,-0.04,-0.86,-0.03,-0.84,-0.01,-0.83,-0.03
